Year,fnma_max,fnma_highcostmax
2020,510400,765600
2019,484350,726525
2018,453100,679650
2017,424100,636150
2016,417000,625500
2015,417000,625500
2014,417000,625500
2013,417000,625500
2012,417000,625500
2011,417000,625500
2010,417000,625500
2009,417000,625500
2008,417000,625500
2007,417000,625500
2006,417000,625500
2005,359650,539475
2004,333700,500550
2003,322700,484050
2002,300700,451050
2001,275000,412500
2000,252700,379050
1999,240000,360000
1998,227150,340725
1997,214600,321900
1996,207000,310500
1995,203150,304725
1994,203150,304725
1993,203150,304725
1992,202300,303450
1991,191250,286875
1990,187450,281175
1989,187600,281400
1988,168700,253050
1987,153100,229650
1986,133250,199875
1985,115300,172950
1984,114000,171000
1983,108300,162450
1982,107000,160500
1981,98500,147750
1980,93750,140625
