"","SELLER","cumulative_ttl","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"1","Amtrust Bank",153599000,821000,4341000,15235000,18285000,7032000,5468000,15375000,14487000,21725000,41363000,9467000,0,0,0,0,0,0,0,0,0,0,0
"2","Bank Of America, N.A.",1698187000,3738000,47224000,111336000,83963000,51534000,208624000,199148000,145852000,167368000,115597000,235604000,243371000,84828000,0,0,0,0,0,0,0,0,0
"3","Bishops Gate Residential Mortgage Trust",256575000,4394000,58917000,98673000,49469000,13235000,11965000,11144000,5909000,2869000,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","Citimortgage, Inc.",978381000,742000,5500000,19353000,10115000,11571000,47855000,94537000,89432000,154271000,204043000,146263000,70079000,55510000,14687000,21408000,9103000,11500000,8945000,3467000,0,0,0
"5","First Tennessee Bank National Association",505522000,2482000,38608000,97162000,90983000,60060000,42833000,58419000,59434000,54039000,1502000,0,0,0,0,0,0,0,0,0,0,0,0
"6","Flagstar Bank, FSB",640574000,674000,6065000,64228000,83526000,70351000,72311000,51864000,12170000,0,0,0,0,0,0,24799000,50922000,53321000,45936000,36932000,25220000,26555000,15700000
"7","Gmac Mortgage, Llc",364824000,1236000,19580000,42418000,7607000,26536000,29114000,18706000,34625000,19079000,14495000,15366000,10980000,111573000,13509000,0,0,0,0,0,0,0,0
"8","Jpmorgan Chase Bank, Na",1760392000,29264000,223023000,405122000,422206000,384285000,216449000,68429000,11614000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","Jpmorgan Chase Bank, National Association",935290000,241000,4801000,20339000,12961000,4037000,0,4070000,3034000,11637000,52396000,174153000,225641000,86334000,155982000,49305000,24181000,14850000,18211000,41975000,28537000,2605000,0
"10","Netbank Funding Services",34324000,631000,8947000,12130000,7100000,2013000,3503000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","Other",20937724000,34716000,195208000,776115000,934526000,607695000,500444000,474519000,392941000,443437000,613575000,1317790000,854244000,854316000,1546603000,1485722000,1035796000,1560119000,1871515000,1303385000,1194155000,1545992000,1394911000
"12","Pnc Bank, N.A.",16858000,154000,61000,134000,365000,1434000,0,0,2812000,7852000,2021000,1166000,489000,201000,68000,0,101000,0,0,0,0,0,0
"13","Rbc Mortgage Company",8704000,77000,595000,857000,2116000,2753000,2306000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","Regions Bank",39239000,2231000,4258000,13606000,14438000,2765000,1618000,179000,144000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","Truist Bank",904323000,264000,73004000,7361000,46668000,48545000,67366000,110647000,65020000,45178000,38641000,100067000,67339000,35242000,38556000,7237000,18356000,40185000,27757000,22275000,17674000,22409000,4532000
"16","Usaa Federal Savings Bank",31156000,958000,6041000,0,2167000,0,6488000,10482000,5020000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17","Washtenaw Mortgage Company",533000,143000,390000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","Wells Fargo Bank, N.A.",5341898000,672000,5402000,10050000,5526000,10547000,20512000,55254000,55051000,55267000,111046000,426809000,468889000,433015000,482830000,470975000,250108000,342651000,488676000,464256000,444855000,490696000,248811000
"19","Fleet National Bank",10806000,0,5167000,5639000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20","Ge Mortgage Services, Llc",177000,0,177000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21","Harwood Street Funding I, Llc",2346000,0,206000,103000,0,332000,1705000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22","Irwin Mortgage, Corporation",84948000,0,198000,362000,16545000,38280000,18725000,8803000,2035000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23","Jp Morgan Chase Bank, Na",314000,0,170000,144000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24","The Huntington National Bank",125000,0,125000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25","Capital One, National Association",867000,0,0,489000,378000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26","Downey Savings And Loan Association, F.A.",206000,0,0,206000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27","Principal Residential Mortgage Capital Resources, Llc",136102000,0,0,48063000,56116000,1077000,30846000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28","Provident Funding Associates, L.P.",3306000,0,0,268000,1015000,0,0,0,0,0,0,0,637000,0,163000,688000,0,0,0,0,0,535000,0
"29","Witmer Funding, Llc",64199000,0,0,5796000,50413000,7990000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30","Hsbc Bank Usa, National Association",474000,0,0,0,0,256000,0,0,0,0,218000,0,0,0,0,0,0,0,0,0,0,0,0
"31","Chase Home Finance",721000,0,0,0,0,0,0,91000,48000,100000,482000,0,0,0,0,0,0,0,0,0,0,0,0
"32","Chase Home Finance (Cie 1)",1540000,0,0,0,0,0,0,0,1482000,58000,0,0,0,0,0,0,0,0,0,0,0,0,0
"33","Flagstar Capital Markets Corporation",283917000,0,0,0,0,0,0,0,13911000,23221000,27492000,35137000,35773000,46202000,69722000,32459000,0,0,0,0,0,0,0
"34","Phh Mortgage Corporation (Usaa Federal Savings Bank)",381000,0,0,0,0,0,0,0,177000,204000,0,0,0,0,0,0,0,0,0,0,0,0,0
"35","Chase Home Finance, Llc",4267000,0,0,0,0,0,0,0,0,1359000,2908000,0,0,0,0,0,0,0,0,0,0,0,0
"36","Fdic, Receiver, Indymac Federal Bank Fsb",4489000,0,0,0,0,0,0,0,0,2339000,2150000,0,0,0,0,0,0,0,0,0,0,0,0
"37","Freedom Mortgage Corp.",156817000,0,0,0,0,0,0,0,0,304000,0,0,0,0,0,3820000,7168000,4329000,49247000,16221000,67648000,3992000,4088000
"38","Gmac Mortgage, Llc (Usaa Federal Savings Bank)",9246000,0,0,0,0,0,0,0,0,1735000,0,4386000,2569000,556000,0,0,0,0,0,0,0,0,0
"39","Ally Bank",37705000,0,0,0,0,0,0,0,0,0,2094000,1152000,0,0,31843000,2616000,0,0,0,0,0,0,0
"40","Chase Home Finance Franklin American Mortgage Company",11708000,0,0,0,0,0,0,0,0,0,11708000,0,0,0,0,0,0,0,0,0,0,0,0
"41","Metlife Bank, Na",6689000,0,0,0,0,0,0,0,0,0,3681000,3008000,0,0,0,0,0,0,0,0,0,0,0
"42","Metlife Home Loans Llc",1733000,0,0,0,0,0,0,0,0,0,508000,1225000,0,0,0,0,0,0,0,0,0,0,0
"43","Phh Mortgage Corporation",293898000,0,0,0,0,0,0,0,0,0,3115000,48818000,89773000,60505000,68957000,20771000,1537000,0,0,422000,0,0,0
"44","The Branch Banking And Trust Company",472000,0,0,0,0,0,0,0,0,0,472000,0,0,0,0,0,0,0,0,0,0,0,0
"45","Federal Home Loan Bank Of Chicago",33327000,0,0,0,0,0,0,0,0,0,0,598000,108000,324000,21489000,10808000,0,0,0,0,0,0,0
"46","Quicken Loans Inc.",490428000,0,0,0,0,0,0,0,0,0,0,446000,16682000,19207000,52195000,65618000,80177000,98520000,121814000,15355000,15796000,4618000,0
"47","U.S. Bank N.A.",1113994000,0,0,0,0,0,0,0,0,0,0,590000,8059000,27034000,60731000,28269000,0,99121000,132346000,182263000,246188000,229896000,99497000
"48","New York Community Bank",1239000,0,0,0,0,0,0,0,0,0,0,0,1239000,0,0,0,0,0,0,0,0,0,0
"49","Nycb Mortgage Company, Llc",2027000,0,0,0,0,0,0,0,0,0,0,0,143000,543000,934000,407000,0,0,0,0,0,0,0
"50","Franklin American Mortgage Company",1293457000,0,0,0,0,0,0,0,0,0,0,0,0,26623000,269483000,141447000,151956000,220874000,263543000,165909000,53622000,0,0
"51","Wells Fargo Bank,  Na",5183000,0,0,0,0,0,0,0,0,0,0,0,0,5183000,0,0,0,0,0,0,0,0,0
"52","Amerisave Mortgage Corporation",4682000,0,0,0,0,0,0,0,0,0,0,0,0,0,2554000,2128000,0,0,0,0,0,0,0
"53","Cashcall, Inc.",1281000,0,0,0,0,0,0,0,0,0,0,0,0,0,587000,694000,0,0,0,0,0,0,0
"54","Fifth Third Bank",1323000,0,0,0,0,0,0,0,0,0,0,0,0,0,1005000,0,0,0,318000,0,0,0,0
"55","Homeward Residential, Inc.",181000,0,0,0,0,0,0,0,0,0,0,0,0,0,181000,0,0,0,0,0,0,0,0
"56","Pennymac Corp.",218495000,0,0,0,0,0,0,0,0,0,0,0,0,0,3315000,1499000,1615000,792000,55671000,37232000,57379000,60992000,0
"57","Stearns Lending, Llc",18065000,0,0,0,0,0,0,0,0,0,0,0,0,0,1354000,3900000,2006000,2033000,7752000,870000,150000,0,0
"58","United Shore Financial Services, Llc D/B/A United Wholesale Mortgage",6797000,0,0,0,0,0,0,0,0,0,0,0,0,0,623000,437000,1494000,1178000,3065000,0,0,0,0
"59","Usaa Direct Delivery",5236000,0,0,0,0,0,0,0,0,0,0,0,0,0,1127000,4109000,0,0,0,0,0,0,0
"60","Ditech Financial Llc",65733000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9973000,10110000,25818000,9240000,9736000,49000,807000,0
"61","Nationstar Mortgage, Llc",60306000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5901000,5081000,6683000,11770000,16926000,12596000,1349000,0
"62","Pacific Union Financial, Llc",236000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236000,0,0,0,0,0,0,0
"63","Roundpoint Mortgage Company",315000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315000,0,0,0,0,0,0,0
"64","Stonegate Mortgage Corporation",71314000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63670000,7644000,0,0,0,0,0,0
"65","J.P. Morgan Madison Avenue Securities Trust, Series 2014-1",1831000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1831000,0,0,0,0,0,0
"66","Loandepot.Com, Llc",28155000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320000,5178000,8213000,7407000,6037000,0,0
"67","Bvrt 2014-1 Trust",175000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175000,0,0,0,0,0
"68","Bvrt Trust",8536000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228000,1115000,5957000,1236000,0,0
"69","Caliber Home Loans, Inc.",47149000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,710000,3015000,16568000,3589000,13833000,9434000
"70","Guild Mortgage Company",55495000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9445000,0,16259000,11478000,158000,18155000
"71","Impac Mortgage Corp.",861000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,649000,212000,0,0,0,0
"72","J.P. Morgan Madison Avenue Securities Trust, Series 2015-1",2198000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2198000,0,0,0,0,0
"73","Pmt Credit Risk Transfer Trust 2015-2",2903000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1908000,995000,0,0,0,0
"74","Wells Fargo Credit Risk Transfer Securities Trust 2015",16745000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16745000,0,0,0,0,0
"75","Amerihome Mortgage Company, Llc",22114000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,349000,10802000,5678000,5285000,0
"76","Cmg Mortgage, Inc",24048000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128000,6566000,14759000,2595000,0
"77","Finance Of America Mortgage Llc",1980000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,593000,225000,1162000,0,0
"78","Movement Mortgage, Llc",28419000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4593000,9768000,11808000,2250000,0
"79","Plaza Home Mortgage, Inc.",126000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126000,0,0,0,0
"80","Pmt Credit Risk Transfer Trust 2016-1",13161000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13161000,0,0,0,0
"81","Pmtt4",80083000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8506000,58900000,12677000,0,0
"82","United Shore Financial Services, Llc Dba United Wholesale Mortgage",11907000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,381000,3185000,4731000,3610000,0
"83","Embrace Home Loans, Inc.",243000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243000,0,0,0
"84","Fairway Independent Mortgage Corporation",36546000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2134000,3070000,12769000,18573000
"85","Fbc Mortgage Llc",168000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168000,0,0,0
"86","Homebridge Financial Services, Inc.",1148000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,711000,437000,0,0
"87","Mid America Mortgage, Inc.",4003000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,796000,3207000,0,0
"88","Northpointe Bank",332000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,332000,0,0,0
"89","Quicken Loans, Llc",238955000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102686000,104801000,31468000,0
"90","Skyline Financial Corp.",504000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,504000,0,0,0
"91","Academy Mortgage Corporation",126000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126000,0,0
"92","Broker Solutions, Inc. Dba New American Funding",431000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,431000,0,0
"93","Lakeview Loan Servicing, Llc",12118000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5728000,6390000,0
"94","AmeriHome Mortgage Company, LLC",21895000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15368000,6527000
"95","Finance of America Mortgage LLC",342000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342000,0
"96","Home Point Financial Corporation",79252000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31747000,47505000
"97","JPMorgan Chase Bank, National Association",19673000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9456000,10217000
"98","Lakeview Loan Servicing, LLC",19504000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17935000,1569000
"99","loanDepot.com, LLC",8045000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2102000,5943000
"100","Movement Mortgage, LLC",11877000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5864000,6013000
"101","NationStar Mortgage, LLC",6542000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5163000,1379000
"102","NewRez LLC",4243000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3583000,660000
"103","PennyMac Corp.",333218000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195076000,138142000
"104","Quicken Loans, LLC",181265000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78104000,103161000
"105","United Shore Financial Services, LLC dba United Wholesale Mortgage",10516000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4792000,5724000
"106","Broker Solutions, Inc. dba New American Funding",1142000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1142000
"107","CrossCountry Mortgage, LLC",761000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761000
"108","Federal Home Loan Bank of Chicago",121806000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121806000
"109","Guaranteed Rate, Inc.",2093000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2093000
"110","PennyMac Loan Services, LLC",1456000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1456000
