"","SELLER","count","bank_sum","default_rt","orig_amt_q1","orig_amt_q2","orig_amt_q3","CSCORE_A_q1","CSCORE_A_q2","CSCORE_A_q3","rt_dev_q1","rt_dev_q2","rt_dev_q3","orig_rt_q1","orig_rt_q2","orig_rt_q3","dti_q1","dti_q2","dti_q3","mkt_share"
"1","Other",3035,557653000,0.968039538714992,129500,167000,226000,733,768,793,0.045,0.2,0.47,3.75,3.875,4.375,27,34,41,0.52
"2","Wells Fargo",986,200558000,0.936105476673428,148000,185500,245000,729,765,790,0.07,0.245,0.44,3.875,4.125,4.5,27,35,42,0.187
"3","U.S. Bank N.A.",622,97198000,0.927652733118971,123000,150000,179000,718.25,746,776,0.01,0.215,0.51,3.875,4.25,4.5,31,37,43,0.091
"4","Loandepot.Com, Llc",412,76079000,0.941747572815534,133000,171000,215000,739.75,771.5,794,-0.105,0.145,0.48425,3.5675,3.875,4.25,26,34.5,42,0.071
"5","Quicken Loans",200,35712000,0.96,122750,163000,220500,715,744.5,777,0.23,0.4625,0.83,3.875,4.125,4.65625,28,35.5,43,0.033
"6","PennyMac Corp",172,31078000,0.965116279069767,124750,165500,225000,733.75,769,788,-0.07125,0.255,0.64875,4.125,4.375,4.78125,28,36,43,0.029
"7","Flagstar Bank, FSB",81,15167000,0.925925925925926,131000,179000,220000,726,775,799,0.24,0.4,0.875,4.125,4.5,4.75,27,37,43,0.014
"8","Lakeview Loan Servicing, LLC",36,8757000,0.944444444444444,205000,236500,305750,721.75,747,776.5,0.2175,0.35,0.53625,3.99,4.25,4.625,27,36.5,40,0.008
"9","Caliber Home Loans, Inc.",39,7712000,0.974358974358974,128500,187000,227500,728.5,770,794.5,0.18,0.3,0.725,3.825,3.99,4.25,28,39,44,0.007
"10","Amerihome Mortgage Company, LLC",43,7654000,0.930232558139535,138000,158000,184000,726,748,771,0.1575,0.385,0.695,3.875,4.25,4.5,30.5,35,39.5,0.007
"11","Fairway Independent Mortgage Corporation",32,6916000,0.90625,165000,198500,256000,722.5,759.5,793.75,0.21,0.2775,0.41875,3.875,3.99,4.15625,31,37.5,44.25,0.006
"12","Home Point Financial Corporation",31,6420000,0.935483870967742,151000,173000,273500,759,776,798.5,0.19,0.31,0.53,3.5625,3.875,4.25,26,33,39.5,0.006
"13","Movement Mortgage",21,4317000,1,146000,169000,230000,751,778,796,0.135,0.25,0.31,3.875,4.25,4.375,28,33,36,0.004
"14","United Wholesale Mortgage",25,4231000,0.92,130000,171000,199000,721,740,775,0.07,0.22,0.318,3.75,4,4.375,38,40,46,0.004
"15","JPMorgan Chase",21,3830000,0.952380952380952,134000,159000,244000,744,781,803,0.135,0.235,0.52,3.875,4.125,4.25,24,28,39,0.004
"16","Truist Bank",11,2478000,1,184500,227000,228500,741.5,779,792.5,0.125,0.235,0.3525,3.875,3.99,4.1875,26.5,33,37.5,0.002
"17","NationStar Mortgage, LLC",14,2112000,0.857142857142857,97250,121500,170250,698,745,760,0.245,0.5275,0.6625,3.99,3.99,4.34375,33,38.5,43.75,0.002
"18","NewRez LLC",6,1659000,1,239000,283500,301000,770.25,778,788.75,0.21,0.215,0.57625,3.99,3.995,4.28125,29.75,37.5,40.75,0.002
"19","Cmg Mortgage, Inc",4,675000,1,133750,175500,210500,724.75,756,788.25,0.2075,0.385,0.52,4.25,4.375,4.5625,32.5,35.5,39.5,0.001
"20","Freedom Mortgage Corp.",3,540000,1,140000,168000,214000,778,782,788,0.01,0.195,0.385,4.125,4.375,4.75,30,31,35.5,0.001
"21","Finance Of America Mortgage",1,342000,1,342000,342000,342000,798,798,798,-0.065,-0.065,-0.065,3.125,3.125,3.125,16,16,16,0
"22","Ditech Financial Llc",2,281000,0.5,82750,140500,198250,718,744,770,0.52,0.675,0.83,4.5,4.625,4.75,21.75,27.5,33.25,0
"23","Provident Funding Associates, L.P.",1,277000,1,277000,277000,277000,801,801,801,-0.075,-0.075,-0.075,3.125,3.125,3.125,46,46,46,0
"24","Guild Mortgage Company",1,158000,1,158000,158000,158000,736,736,736,0.195,0.195,0.195,3.875,3.875,3.875,29,29,29,0
