"","SELLER","count","bank_sum","default_rt","orig_amt_q1","orig_amt_q2","orig_amt_q3","CSCORE_A_q1","CSCORE_A_q2","CSCORE_A_q3","rt_dev_q1","rt_dev_q2","rt_dev_q3","orig_rt_q1","orig_rt_q2","orig_rt_q3","dti_q1","dti_q2","dti_q3","mkt_share"
"1","Other",1786,365920000,0.987122060470325,144000,188000,250000,746,775,796,-0.2,0.05,0.25375,3,3.25,3.5,25,32,40,0.601
"2","Wells Fargo",288,66228000,0.972222222222222,162000,206000,274500,736.75,772,796,-0.125,0.05,0.27,3.125,3.375,3.625,25,33,41,0.109
"3","Federal Home Loan Bank Of Chicago",256,56078000,0.984375,147750,199000,274250,750.75,775,797,-0.1125,0.005,0.145,3,3.125,3.305,22,29,36.25,0.092
"4","Loandepot.Com, Llc",152,31249000,0.980263157894737,144000,186000,246250,750.25,780.5,796,-0.2425,-0.001,0.205,3,3.25,3.499,25,32,39,0.051
"5","U.S. Bank N.A.",141,22999000,0.950354609929078,119000,157000,184000,713,749,782,-0.075,0.175,0.425,3.25,3.5,3.875,29,36,41,0.038
"6","Quicken Loans",107,18538000,0.953271028037383,125500,157000,210500,723,761,782.5,0.13,0.27,0.53,3.125,3.375,3.75,26.5,35,42,0.03
"7","Home Point Financial Corporation",61,13329000,0.967213114754098,167000,203000,272000,745,773,796,-0.105,0.125,0.35,3.125,3.49,3.625,25,34,42,0.022
"8","Fairway Independent Mortgage Corporation",45,10381000,1,173000,223000,267000,747,766,790,-0.045,0.07,0.26,3.125,3.375,3.5,26,36,41,0.017
"9","Guild Mortgage Company",46,9304000,0.978260869565217,135000,189500,256750,722,754.5,780.25,-0.1675,0.075,0.1675,3.125,3.375,3.5,31.25,38,41,0.015
"10","Flagstar Bank, FSB",20,4055000,0.95,160500,183500,246750,719,742.5,782.5,0.26875,0.469,0.745,3.59375,3.875,4.11975,23.5,33.5,39.25,0.007
"11","Movement Mortgage",10,2646000,1,237250,255000,267250,757,778,787.75,-0.17225,0.02,0.12925,3.25,3.312,3.375,23.25,29.5,40.75,0.004
"12","Caliber Home Loans, Inc.",8,1668000,1,165250,180000,211250,739,766.5,772.5,0.09375,0.16,0.30375,3.3125,3.4375,3.73125,24.5,33,46.25,0.003
"13","United Wholesale Mortgage",7,1617000,1,164500,190000,291000,691.5,727,771.5,-0.0505,0.095,0.278,3.147,3.5,3.753,31,37,46,0.003
"14","Amerihome Mortgage Company, LLC",7,1411000,1,159500,173000,191000,764.5,786,791.5,0.24,0.48,0.5625,3.0625,3.25,3.625,24.5,33,37,0.002
"15","JPMorgan Chase",9,1133000,1,114000,116000,135000,747,800,806,0.205,0.28,0.375,3.25,3.375,3.375,24,27,37,0.002
"16","Guaranteed Rate, Inc.",3,776000,1,221000,295000,314500,749.5,783,784,0.0775,0.105,0.1875,3.1875,3.5,3.5,28,34,36,0.001
"17","CrossCountry Mortgage, LLC",2,495000,1,221250,247500,273750,752.5,757,761.5,-0.3075,-0.115,0.0775,3.125,3.25,3.375,25,30,35,0.001
"18","Broker Solutions, Inc. dba New American Funding",2,457000,1,209250,228500,247750,780.5,788,795.5,0.145,0.145,0.145,3.375,3.375,3.375,41.25,41.5,41.75,0.001
"19","Lakeview Loan Servicing, LLC",2,433000,0.5,183250,216500,249750,770.5,773,775.5,0.54,0.54,0.54,3.99,3.99,3.99,37.5,38,38.5,0.001
"20","PennyMac Corp",1,372000,1,372000,372000,372000,698,698,698,0.499,0.499,0.499,3.999,3.999,3.999,28,28,28,0.001
"21","Freedom Mortgage Corp.",1,193000,1,193000,193000,193000,779,779,779,-0.45,-0.45,-0.45,3,3,3,46,46,46,0
